,PERIODO,DIA,CLASE_atropello,CLASE_caida ocupante,CLASE_caida_ocupante,CLASE_choque,CLASE_choque y atropello,CLASE_incendio,CLASE_otro,CLASE_volcamiento,FESTIVO,PLAN_EXODO,PLAN_RETORNO,MES_01,MES_02,MES_03,MES_04,MES_05,MES_06,MES_07,MES_08,MES_09,MES_10,MES_11,MES_12,DIA_SEMANA_1,DIA_SEMANA_2,DIA_SEMANA_3,DIA_SEMANA_4,DIA_SEMANA_5,DIA_SEMANA_6,DIA_SEMANA_7
37,2014,07,17,0,10,89,0,0,18,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,2014,08,8,0,5,70,0,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,2014,09,14,0,12,41,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2014,10,12,0,18,104,0,0,20,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,2014,11,13,0,6,86,0,0,12,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,2014,12,14,0,9,87,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,2014,13,12,0,15,106,0,0,22,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,2014,14,9,0,4,74,0,0,23,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,2014,15,13,0,8,74,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,2014,16,13,0,7,44,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2014,17,8,0,17,84,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2014,18,15,0,9,87,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,2014,19,7,0,8,80,0,0,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,2014,20,17,0,13,82,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,2014,21,13,0,9,72,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,2014,22,21,0,9,66,0,0,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,2014,23,14,0,11,46,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2014,24,11,0,10,92,0,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,2014,25,17,0,11,88,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,2014,26,12,0,10,63,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,2014,27,10,0,18,90,0,0,16,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
